Section,H(mm),B(mm),t(mm),Ath(cm2),G(kg/m),IX(cm4),WX(cm3),IY(cm4),WY(cm3),A(cm2)
Box steel 20x40x1.0,40,20,1,1.16,0.9106,2.435866667,1.217933333,,,8
Box steel 20x40x1.2,40,20,1.2,1.3824,1.085184,2.87025152,1.43512576,,,8
Box steel 20x40x1.4,40,20,1.4,1.6016,1.257256,3.288031787,1.644015893,,,8
Box steel 20x40x1.5,40,20,1.5,1.71,1.34235,3.490825,1.7454125,,,8
Box steel 20x40x1.8,40,20,1.8,2.0304,1.593864,4.07543232,2.03771616,,,8
Box steel 20x40x2.0,40,20,2,2.24,1.7584,4.445866667,2.222933333,,,8
Box steel 20x40x2.5,40,20,2.5,2.75,2.15875,5.307291667,2.653645833,,,8
Box steel 20x40x3.0,40,20,3,3.24,2.5434,6.0812,3.0406,,,8
Box steel 25x50x1.0,50,25,1,1.46,1.1461,4.844866667,1.937946667,,,12.5
Box steel 25x50x1.2,50,25,1.2,1.7424,1.367784,5.72988352,2.291953408,,,12.5
Box steel 25x50x1.4,50,25,1.4,2.0216,1.586956,6.588167787,2.635267115,,,12.5
Box steel 25x50x1.5,50,25,1.5,2.16,1.6956,7.00745,2.80298,,,12.5
Box steel 25x50x1.8,50,25,1.8,2.5704,2.017764,8.22664032,3.290656128,,,12.5
Box steel 25x50x2.0,50,25,2,2.84,2.2294,9.007866667,3.603146667,,,12.5
Box steel 25x50x2.5,50,25,2.5,3.5,2.7475,10.85416667,4.341666667,,,12.5
Box steel 25x50x3.0,50,25,3,4.14,3.2499,12.5542,5.02168,,,12.5
Box steel 30x60x1.0,60,30,1,1.76,1.3816,8.473866667,2.824622222,,,18
Box steel 30x60x1.2,60,30,1.2,2.1024,1.650384,10.04631552,3.34877184,,,18
Box steel 30x60x1.4,60,30,1.4,2.4416,1.916656,11.57950379,3.859834596,,,18
Box steel 30x60x1.5,60,30,1.5,2.61,2.04885,12.331575,4.110525,,,18
Box steel 30x60x1.8,60,30,1.8,3.1104,2.441664,14.53064832,4.84354944,,,18
Box steel 30x60x2.0,60,30,2,3.44,2.7004,15.94986667,5.316622222,,,18
Box steel 30x60x2.5,60,30,2.5,4.25,3.33625,19.33854167,6.446180556,,,18
Box steel 30x60x3.0,60,30,3,5.04,3.9564,22.5072,7.5024,,,18
Box steel 40x40x1.0,40,40,1,1.56,1.2246,3.9572,1.9786,,,16
Box steel 40x40x1.2,40,40,1.2,1.8624,1.461984,4.67735552,2.33867776,,,16
Box steel 40x40x1.4,40,40,1.4,2.1616,1.696856,5.374890453,2.687445227,,,16
Box steel 40x40x1.5,40,40,1.5,2.31,1.81335,5.715325,2.8576625,,,16
Box steel 40x40x1.8,40,40,1.8,2.7504,2.159064,6.70400832,3.35200416,,,16
Box steel 40x40x2.0,40,40,2,3.04,2.3864,7.336533333,3.668266667,,,16
